,px,py,xtrue,ytrue
124,0.6685723475850707,-0.5490893314381664,0.6680667996406555,-0.5989446043968201
125,0.6636299024954226,-0.5567696111463661,0.6618667840957642,-0.60679030418396
126,0.6585539529876351,-0.5643724997214851,0.6554877758026123,-0.6144912242889404
127,0.653345720542736,-0.5718958496803901,0.6489425897598267,-0.6220514178276062
128,0.6480064567385474,-0.5793375243288936,0.6422392129898071,-0.6294717192649841
129,0.6425374430503341,-0.5866953984033222,0.6353838443756104,-0.6367518901824951
130,0.6369399871496901,-0.5939673633096542,0.6283798217773438,-0.6438891291618347
131,0.6312154201591929,-0.6011513379197773,0.6212238669395447,-0.6508740186691284
132,0.6253651033539187,-0.6082452721054428,0.6139183044433594,-0.6577022671699524
133,0.6193904503234753,-0.6152471531980692,0.6064677238464355,-0.6643719673156738
134,0.6132929159714421,-0.6221550046093121,0.5988723039627075,-0.6708762049674988
135,0.6070740032505472,-0.6289668722098233,0.5911370515823364,-0.6772136092185974
136,0.6007352587768162,-0.6356808275211785,0.5832613110542297,-0.6833754777908325
137,0.5942782571295496,-0.6422949678493609,0.5752411484718323,-0.6893481016159058
138,0.5877045913868635,-0.6488074230664346,0.5670787692070007,-0.6951248049736023
139,0.5810158754514654,-0.6552163558598547,0.5587817430496216,-0.7007064819335938
140,0.5742137363613857,-0.6615199652107006,0.5503560304641724,-0.7060919404029846
141,0.5672998170656564,-0.6677164798453272,0.5418066382408142,-0.7112787365913391
142,0.5602757798946372,-0.6738041607702923,0.5331382155418396,-0.7162641286849976
143,0.5531433052067917,-0.6797812961050533,0.5243549942970276,-0.7210443019866943
144,0.5459041117801563,-0.6856461983765724,0.5154638290405273,-0.7256206274032593
145,0.5385599520059994,-0.6913972212791515,0.5064660906791687,-0.7299835681915283
146,0.5311125991881173,-0.6970327660451161,0.4973655343055725,-0.7341278791427612
147,0.5235638468147962,-0.7025512724806495,0.48817193508148193,-0.7380615472793579
148,0.5159155041659669,-0.7079512162281408,0.4788896441459656,-0.7417810559272766
149,0.5081694025533705,-0.7132310951091362,0.4695222079753876,-0.7452805638313293
150,0.5003273929496135,-0.7183894442916059,0.460074782371521,-0.748557984828949
151,0.49239134992459244,-0.7234248352699634,0.45055124163627625,-0.7516071200370789
152,0.48436316071157076,-0.7283358732336288,0.4409582018852234,-0.7544301748275757
153,0.4762447293715767,-0.7331212050839563,0.4313025176525116,-0.7570308446884155
154,0.46803798434769006,-0.7377795119245387,0.4215924143791199,-0.7594205141067505
155,0.45974488236824557,-0.742309503893418,0.41183534264564514,-0.7616104483604431
156,0.45136741128549757,-0.7467099333797962,0.40203526616096497,-0.7635990977287292
157,0.4429075798015093,-0.7509795939287854,0.39219680428504944,-0.7653883099555969
